,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Unnamed: 7,Opposition,Ground,Start Date,Unnamed: 11
0,DNB,-,-,-,-,-,1,,v Zimbabwe,Harare,11 Jun 2016,ODI # 3742
1,DNB,-,-,-,-,-,1,,v Zimbabwe,Harare,13 Jun 2016,ODI # 3744
2,DNB,-,-,-,-,-,1,,v Zimbabwe,Harare,15 Jun 2016,ODI # 3746
3,DNB,-,-,-,-,-,1,,v England,Pune,15 Jan 2017,ODI # 3819
4,DNB,-,-,-,-,-,2,,v England,Cuttack,19 Jan 2017,ODI # 3821
5,DNB,-,-,-,-,-,1,,v England,Eden Gardens,22 Jan 2017,ODI # 3824
6,DNB,-,-,-,-,-,1,,v Sri Lanka,Dambulla,20 Aug 2017,ODI # 3905
7,DNB,-,-,-,-,-,1,,v Sri Lanka,Pallekele,24 Aug 2017,ODI # 3906
8,DNB,-,-,-,-,-,1,,v Sri Lanka,Pallekele,27 Aug 2017,ODI # 3907
9,DNB,-,-,-,-,-,2,,v Sri Lanka,Colombo (RPS),31 Aug 2017,ODI # 3908
10,DNB,-,-,-,-,-,1,,v England,Nottingham,12 Jul 2018,ODI # 4014
11,DNB,-,-,-,-,-,1,,v England,Lord's,14 Jul 2018,ODI # 4016
12,DNB,-,-,-,-,-,1,,v Afghanistan,Dubai (DSC),25 Sep 2018,ODI # 4046
13,DNB,-,-,-,-,-,2,,v Australia,Mohali,10 Mar 2019,ODI # 4111
14,DNB,-,-,-,-,-,1,,v South Africa,Southampton,5 Jun 2019,ODI # 4150
15,DNB,-,-,-,-,-,2,,v Australia,The Oval,9 Jun 2019,ODI # 4155
16,DNB,-,-,-,-,-,2,,v Pakistan,Manchester,16 Jun 2019,ODI # 4161
17,DNB,-,-,-,-,-,2,,v Afghanistan,Southampton,22 Jun 2019,ODI # 4169
18,DNB,-,-,-,-,-,2,,v West Indies,Manchester,27 Jun 2019,ODI # 4175
19,DNB,-,-,-,-,-,1,,v England,Birmingham,30 Jun 2019,ODI # 4179
20,DNB,-,-,-,-,-,2,,v Bangladesh,Birmingham,2 Jul 2019,ODI # 4182
21,DNB,-,-,-,-,-,1,,v Sri Lanka,Leeds,6 Jul 2019,ODI # 4187
22,DNB,-,-,-,-,-,1,,v New Zealand,Manchester,9 Jul 2019,ODI # 4190
23,DNB,-,-,-,-,-,2,,v West Indies,Chennai,15 Dec 2019,ODI # 4221
24,DNB,-,-,-,-,-,2,,v West Indies,Visakhapatnam,18 Dec 2019,ODI # 4222
25,DNB,-,-,-,-,-,1,,v West Indies,Cuttack,22 Dec 2019,ODI # 4223
26,DNB,-,-,-,-,-,2,,v Australia,Wankhede,14 Jan 2020,ODI # 4231
27,DNB,-,-,-,-,-,2,,v Australia,Rajkot,17 Jan 2020,ODI # 4232
28,DNB,-,-,-,-,-,1,,v Australia,Bengaluru,19 Jan 2020,ODI # 4233
29,DNB,-,-,-,-,-,2,,v New Zealand,Hamilton,5 Feb 2020,ODI # 4235
30,DNB,-,-,-,-,-,1,,v New Zealand,Auckland,8 Feb 2020,ODI # 4239
31,DNB,-,-,-,-,-,2,,v New Zealand,Mount Maunganui,11 Feb 2020,ODI # 4243
32,DNB,-,-,-,-,-,1,,v Australia,Sydney,27 Nov 2020,ODI # 4265
33,DNB,-,-,-,-,-,1,,v Australia,Sydney,29 Nov 2020,ODI # 4266
34,DNB,-,-,-,-,-,2,,v Australia,Canberra,2 Dec 2020,ODI # 4267
35,DNB,-,-,-,-,-,2,,v England,Pune,23 Mar 2021,ODI # 4281
36,DNB,-,-,-,-,-,2,,v England,Pune,26 Mar 2021,ODI # 4283
37,DNB,-,-,-,-,-,2,,v England,Pune,28 Mar 2021,ODI # 4284
38,DNB,-,-,-,-,-,1,,v South Africa,Paarl,19 Jan 2022,ODI # 4344
39,DNB,-,-,-,-,-,2,,v South Africa,Paarl,21 Jan 2022,ODI # 4346
40,DNB,-,-,-,-,-,1,,v South Africa,Cape Town,23 Jan 2022,ODI # 4349
41,DNB,-,-,-,-,-,2,,v West Indies,Ahmedabad,9 Feb 2022,ODI # 4355
42,DNB,-,-,-,-,-,1,,v Zimbabwe,Harare,18 Aug 2022,ODI # 4451
43,DNB,-,-,-,-,-,1,,v Zimbabwe,Harare,20 Aug 2022,ODI # 4454
44,DNB,-,-,-,-,-,2,,v Zimbabwe,Harare,22 Aug 2022,ODI # 4457
45,DNB,-,-,-,-,-,2,,v Bangladesh,Mirpur,4 Dec 2022,ODI # 4493
46,DNB,-,-,-,-,-,1,,v Bangladesh,Mirpur,7 Dec 2022,ODI # 4496
47,DNB,-,-,-,-,-,2,,v Bangladesh,Chattogram,10 Dec 2022,ODI # 4499
48,DNB,-,-,-,-,-,2,,v Sri Lanka,Guwahati,10 Jan 2023,ODI # 4501
49,DNB,-,-,-,-,-,1,,v Sri Lanka,Eden Gardens,12 Jan 2023,ODI # 4503
50,DNB,-,-,-,-,-,2,,v Sri Lanka,Thiruvananthapuram,15 Jan 2023,ODI # 4505
51,DNB,-,-,-,-,-,1,,v Australia,Wankhede,17 Mar 2023,ODI # 4538
52,DNB,-,-,-,-,-,2,,v Australia,Visakhapatnam,19 Mar 2023,ODI # 4541
53,DNB,-,-,-,-,-,1,,v Australia,Chennai,22 Mar 2023,ODI # 4545
54,DNB,-,-,-,-,-,2,,v Pakistan,Colombo (RPS),10 Sep 2023,ODI # 4639
55,DNB,-,-,-,-,-,2,,v Sri Lanka,Colombo (RPS),12 Sep 2023,ODI # 4641
56,DNB,-,-,-,-,-,1,,v Bangladesh,Colombo (RPS),15 Sep 2023,ODI # 4645
57,DNB,-,-,-,-,-,1,,v Sri Lanka,Colombo (RPS),17 Sep 2023,ODI # 4649
58,DNB,-,-,-,-,-,1,,v Australia,Mohali,22 Sep 2023,ODI # 4651
59,DNB,-,-,-,-,-,2,,v Australia,Indore,24 Sep 2023,ODI # 4654
60,DNB,-,-,-,-,-,1,,v Australia,Rajkot,27 Sep 2023,ODI # 4657
61,DNB,-,-,-,-,-,1,,v Australia,Chennai,8 Oct 2023,ODI # 4662
62,DNB,-,-,-,-,-,1,,v Afghanistan,Delhi,11 Oct 2023,ODI # 4666
63,DNB,-,-,-,-,-,1,,v Pakistan,Ahmedabad,14 Oct 2023,ODI # 4669
64,DNB,-,-,-,-,-,1,,v Bangladesh,Pune,19 Oct 2023,ODI # 4674
65,DNB,-,-,-,-,-,1,,v New Zealand,Dharamsala,22 Oct 2023,ODI # 4678
66,DNB,-,-,-,-,-,2,,v England,Lucknow,29 Oct 2023,ODI # 4686
67,DNB,-,-,-,-,-,2,,v Sri Lanka,Wankhede,2 Nov 2023,ODI # 4690
68,DNB,-,-,-,-,-,2,,v South Africa,Eden Gardens,5 Nov 2023,ODI # 4694
69,DNB,-,-,-,-,-,2,,v Netherlands,Bengaluru,12 Nov 2023,ODI # 4702
70,DNB,-,-,-,-,-,2,,v New Zealand,Wankhede,15 Nov 2023,ODI # 4703
71,DNB,-,-,-,-,-,2,,v Australia,Ahmedabad,19 Nov 2023,ODI # 4705
