,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Unnamed: 7,Opposition,Ground,Start Date,Unnamed: 11
0,DNB,-,-,-,-,-,2,,v Sri Lanka,Dharamsala,10 Dec 2017,ODI # 3939
1,1.0,0,2,0,2.00,6,2,,v Sri Lanka,Mohali,13 Dec 2017,ODI # 3941
2,DNB,-,-,-,-,-,1,,v Sri Lanka,Visakhapatnam,17 Dec 2017,ODI # 3942
3,DNB,-,-,-,-,-,2,,v South Africa,Johannesburg,10 Feb 2018,ODI # 3973
4,DNB,-,-,-,-,-,2,,v South Africa,Gqeberha,13 Feb 2018,ODI # 3976
5,DNB,-,-,-,-,-,1,,v South Africa,Centurion,16 Feb 2018,ODI # 3978
6,DNB,-,-,-,-,-,1,,v West Indies,Providence,8 Aug 2019,ODI # 4196
7,DNB,-,-,-,-,-,2,,v West Indies,Port of Spain,11 Aug 2019,ODI # 4197
8,DNB,-,-,-,-,-,1,,v West Indies,Port of Spain,14 Aug 2019,ODI # 4199
9,DNB,-,-,-,-,-,2,,v West Indies,Chennai,15 Dec 2019,ODI # 4221
10,1.0,0,13,0,13.00,6,2,,v West Indies,Visakhapatnam,18 Dec 2019,ODI # 4222
11,DNB,-,-,-,-,-,1,,v West Indies,Cuttack,22 Dec 2019,ODI # 4223
12,DNB,-,-,-,-,-,2,,v Australia,Wankhede,14 Jan 2020,ODI # 4231
13,DNB,-,-,-,-,-,2,,v Australia,Rajkot,17 Jan 2020,ODI # 4232
14,DNB,-,-,-,-,-,1,,v Australia,Bengaluru,19 Jan 2020,ODI # 4233
15,DNB,-,-,-,-,-,2,,v New Zealand,Hamilton,5 Feb 2020,ODI # 4235
16,DNB,-,-,-,-,-,1,,v New Zealand,Auckland,8 Feb 2020,ODI # 4239
17,DNB,-,-,-,-,-,2,,v New Zealand,Mount Maunganui,11 Feb 2020,ODI # 4243
18,DNB,-,-,-,-,-,1,,v Australia,Sydney,27 Nov 2020,ODI # 4265
19,DNB,-,-,-,-,-,1,,v Australia,Sydney,29 Nov 2020,ODI # 4266
20,DNB,-,-,-,-,-,2,,v Australia,Canberra,2 Dec 2020,ODI # 4267
21,DNB,-,-,-,-,-,2,,v England,Pune,23 Mar 2021,ODI # 4281
